platform	format	family	communication	width	height	path	sha256
linkedin	Feed Square	Event / Programme Announcement	EVENT	1200	1200	04_Templates/linkedin/02_Feed_Square/07_Event_Announcement.svg	73e6486eaa14321855723f6159fd5d00e66917b36ab29eb2b84ad99a706c23ac
linkedin	Feed Landscape 1.91:1	Event / Programme Announcement	EVENT	1200	628	04_Templates/linkedin/03_Feed_Landscape_1.91x1/07_Event_Announcement.svg	70459fde177554329de73053a8c4c6628bff6bdd6f73dd0c09155157bec1fbeb
linkedin	Feed Landscape 1.91:1	Partnership / Recognition	HSF,EVENT	1200	628	04_Templates/linkedin/03_Feed_Landscape_1.91x1/08_Partnership_Recognition.svg	a6bcc98eac96098140d6476d3e8c928b1e655c6ed25b04e076b58fe34863e78d
linkedin	Feed Landscape 1.91:1	Report / Publication	CORE,HSF	1200	628	04_Templates/linkedin/03_Feed_Landscape_1.91x1/11_Report_Publication.svg	55b41a011d2453f75a1f3aca5d984718a21a5e84ea98938f6f3350b6da807a49
linkedin	Feed Landscape 1.91:1	Observance / National Day	OBS	1200	628	04_Templates/linkedin/03_Feed_Landscape_1.91x1/17_Observance_Day.svg	6013d4e5175395f0014bac5feb4e4d5c9992d10a5acbb7da05ebc5c1dad6f93c
facebook	Carousel 4:5	01_Core_Issue_Resolution / Cover / Hook	CORE	1080	1350	04_Templates/facebook/03_Carousels/01_Core_Issue_Resolution/01_Cover_Hook.svg	435702f0059924f5f460eaf7a51b4559c1577d2d4664e0abdca3e2e76f8efeea
facebook	Carousel 4:5	01_Core_Issue_Resolution / Issue / Context	CORE	1080	1350	04_Templates/facebook/03_Carousels/01_Core_Issue_Resolution/02_Issue_Context.svg	2a84cfcd3a6e6195e45344f435c740e69fc04516078c2bc9d92032f64fc7d38f
facebook	Carousel 4:5	01_Core_Issue_Resolution / Why It Matters	CORE	1080	1350	04_Templates/facebook/03_Carousels/01_Core_Issue_Resolution/03_Why_It_Matters.svg	e45004ba25f8d9e65bb17746fe45a2302059bf016acc2dbaff9f7326214d88fd
facebook	Carousel 4:5	01_Core_Issue_Resolution / HSF Response	CORE	1080	1350	04_Templates/facebook/03_Carousels/01_Core_Issue_Resolution/04_HSF_Response.svg	346da6bb4a01e9b4a262bcbe6173190ea9edfc8e764d278917448ea02aff636c
facebook	Carousel 4:5	01_Core_Issue_Resolution / Evidence / Human	CORE	1080	1350	04_Templates/facebook/03_Carousels/01_Core_Issue_Resolution/05_Evidence_Human.svg	ece8b90b4f39422557b74670a07afafb76f21eb9b9ba329dbb38e5c8e95d7d99
facebook	Carousel 4:5	01_Core_Issue_Resolution / Action / Source	CORE	1080	1350	04_Templates/facebook/03_Carousels/01_Core_Issue_Resolution/06_Action_Source.svg	bf6dce470621aa908923e630c20e44c23e7ad11a41ab3f7322d2f52dccfb8b42
facebook	Carousel 4:5	02_Field_Event_Story / Cover	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/01_Cover.svg	f0dcacc88c173ad121e1c819471774343614a4afae53df6e2fabc301ffb50867
facebook	Carousel 4:5	02_Field_Event_Story / Where / When	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/02_Where_When.svg	16ed669005a6072fb84ec45d1e4e201be27fb8a4f7cc89e3cb7851500f3c8a11
facebook	Carousel 4:5	02_Field_Event_Story / Activity	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/03_Activity.svg	30ca837e983685638cc65170adc4484379bd2ed4e24ec4fc062c77da2b269de6
facebook	Carousel 4:5	02_Field_Event_Story / People	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/04_People.svg	fb5c7b065d97eadcec6c27c7d73415e2867370e66828638ef2360cb65f460229
facebook	Carousel 4:5	02_Field_Event_Story / Why It Matters	FIELD,EVENT	1080	1350	04_Templates/facebook/03_Carousels/02_Field_Event_Story/05_Why_It_Matters.svg	cd5a406626410a7169a6d5b4c99659bebb3cd0a9d19bb2f0e4cd0f26fdfc4f62
